artsid;artsnavn;DanskNavn;LatinskNavn
2260;Hvidhovedet And;Hvidhovedet And;Oxyura leucocephala
2260;Hvidhovedet And;Hvidhovedet And;(Oxyura leucocephala)
2250;Amerikansk Skarveand;Amerikansk Skarveand;Oxyura jamaicensis
2250;Amerikansk Skarveand;Amerikansk Skarveand;(Oxyura jamaicensis)
2265;"Amerikansk Skarveand x 	
Hvidhovedet And (hybrid)";;
1645;Dværgsnegås x Bramgås (hybrid);Dværgsnegås x Bramgås (hybrid);Anser rossii x Branta leucopsis
1645;Dværgsnegås x Bramgås (hybrid);Dværgsnegås x Bramgås (hybrid);(Anser rossii x Branta leucopsis)
1640;Dværgsnegås;Dværgsnegås;Anser rossii
1640;Dværgsnegås;Dværgsnegås;(Anser rossii)
2090;Stellersand;Stellersand;Polysticta stelleri
2090;Stellersand;Stellersand;(Polysticta stelleri)
2063;Ederfugl, Arktisk (ssp. borealis);Ederfugl, Arktisk (ssp. borealis);Somateria mollissima borealis
2063;Ederfugl, Arktisk (ssp. borealis);Ederfugl, Arktisk (ssp. borealis);(Somateria mollissima borealis)
2153;Amerikansk Fløjlsand;Amerikansk Fløjlsand;Melanitta deglandi
2153;Amerikansk Fløjlsand;Amerikansk Fløjlsand;(Melanitta deglandi)
2152;Asiatisk Fløjlsand;Asiatisk Fløjlsand;Melanitta stejnegeri
2152;Asiatisk Fløjlsand;Asiatisk Fløjlsand;(Melanitta stejnegeri)
2151;Amerikansk/Asiatisk Fløjlsand;Amerikansk/Asiatisk Fløjlsand;Melanitta deglandi/M. stejnegeri
2151;Amerikansk/Asiatisk Fløjlsand;Amerikansk/Asiatisk Fløjlsand;(Melanitta deglandi/M. stejnegeri)
2160;Bøffeland;Bøffeland;Bucephala albeola
2160;Bøffeland;Bøffeland;(Bucephala albeola)
2190;Hjelmskallesluger;Hjelmskallesluger;Lophodytes cucullatus
2190;Hjelmskallesluger;Hjelmskallesluger;(Lophodytes cucullatus)
1950;Marmorand;Marmorand;Marmaronetta angustirostris
1950;Marmorand;Marmorand;(Marmaronetta angustirostris)
2000;Halsbåndstroldand;Halsbåndstroldand;Aythya collaris
2000;Halsbåndstroldand;Halsbåndstroldand;(Aythya collaris)
2005;Halsbåndstroldand x Troldand (hybrid);Halsbåndstroldand x Troldand (hybrid);Aythya collaris x A. fuligula
2005;Halsbåndstroldand x Troldand (hybrid);Halsbåndstroldand x Troldand (hybrid);(Aythya collaris x A. fuligula)
2050;Lille Bjergand;Lille Bjergand;Aythya affinis
2050;Lille Bjergand;Lille Bjergand;(Aythya affinis)
2051;Lille Bjergand x Troldand (hybrid);Lille Bjergand x Troldand (hybrid);Aythya affinis x A. fuligula
2051;Lille Bjergand x Troldand (hybrid);Lille Bjergand x Troldand (hybrid);(Aythya affinis x A. fuligula)
1830;Sibirisk Krikand;Sibirisk Krikand;Sibirionetta formosa
1830;Sibirisk Krikand;Sibirisk Krikand;(Sibirionetta formosa)
1920;Blåvinget And;Blåvinget And;Spatula discors
1920;Blåvinget And;Blåvinget And;(Spatula discors)
1946;Skeand x Blåvinget And (hybrid);Skeand x Blåvinget And (hybrid);Spatula clypeata x S. discors
1946;Skeand x Blåvinget And (hybrid);Skeand x Blåvinget And (hybrid);(Spatula clypeata x S. discors)
1800;Amerikansk Pibeand;Amerikansk Pibeand;Mareca americana
1800;Amerikansk Pibeand;Amerikansk Pibeand;(Mareca americana)
1808;Amerikansk Pibeand x Pibeand (hybrid);Amerikansk Pibeand x Pibeand (hybrid);Mareca americana x M. penelope
1808;Amerikansk Pibeand x Pibeand (hybrid);Amerikansk Pibeand x Pibeand (hybrid);(Mareca americana x M. penelope)
1870;Sortbrun And;Sortbrun And;Anas rubripes
1870;Sortbrun And;Sortbrun And;(Anas rubripes)
3320;Urfugl;Urfugl;Lyrurus tetrix
3320;Urfugl;Urfugl;(Lyrurus tetrix)
1472;Stor Flamingo;Stor Flamingo;Phoenicopterus roseus
1472;Stor Flamingo;Stor Flamingo;(Phoenicopterus roseus)
4460;Stortrappe;Stortrappe;Otis tarda
4460;Stortrappe;Stortrappe;(Otis tarda)
4445;Østlig Kravetrappe;Østlig Kravetrappe;Chlamydotis macqueenii
4445;Østlig Kravetrappe;Østlig Kravetrappe;(Chlamydotis macqueenii)
4420;Dværgtrappe;Dværgtrappe;Tetrax tetrax
4420;Dværgtrappe;Dværgtrappe;(Tetrax tetrax)
7160;Skadegøg;Skadegøg;Clamator glandarius
7160;Skadegøg;Skadegøg;(Clamator glandarius)
7280;Gulnæbbet Gøg;Gulnæbbet Gøg;Coccyzus americanus
7280;Gulnæbbet Gøg;Gulnæbbet Gøg;(Coccyzus americanus)
7270;Sortnæbbet Gøg;Sortnæbbet Gøg;Coccyzus erythropthalmus
7270;Sortnæbbet Gøg;Sortnæbbet Gøg;(Coccyzus erythropthalmus)
6630;Steppehøne;Steppehøne;Syrrhaptes paradoxus
6630;Steppehøne;Steppehøne;(Syrrhaptes paradoxus)
6950;Sørgedue;Sørgedue;Zenaida macroura
6950;Sørgedue;Sørgedue;(Zenaida macroura)
6890;Østlig Turteldue;Østlig Turteldue;Streptopelia orientalis
6890;Østlig Turteldue;Østlig Turteldue;(Streptopelia orientalis)
4360;Prærietrane;Prærietrane;Antigone canadensis
4360;Prærietrane;Prærietrane;(Antigone canadensis)
4410;Jomfrutrane;Jomfrutrane;Grus virgo
4410;Jomfrutrane;Jomfrutrane;(Grus virgo)
4250;Lille Sultanhøne;Lille Sultanhøne;Porphyrio alleni
4250;Lille Sultanhøne;Lille Sultanhøne;(Porphyrio alleni)
4100;Lille Rørvagtel;Lille Rørvagtel;Zapornia parva
4100;Lille Rørvagtel;Lille Rørvagtel;(Zapornia parva)
4110;Dværgrørvagtel;Dværgrørvagtel;Zapornia pusilla
4110;Dværgrørvagtel;Dværgrørvagtel;(Zapornia pusilla)
4590;Triel;Triel;Burhinus oedicnemus
4590;Triel;Triel;(Burhinus oedicnemus)
4840;Amerikansk Hjejle;Amerikansk Hjejle;Pluvialis dominica
4840;Amerikansk Hjejle;Amerikansk Hjejle;(Pluvialis dominica)
4845;Sibirisk Hjejle;Sibirisk Hjejle;Pluvialis fulva
4845;Sibirisk Hjejle;Sibirisk Hjejle;(Pluvialis fulva)
4848;Amerikansk Hjejle/Sibirisk Hjejle;Amerikansk Hjejle/Sibirisk Hjejle;Pluvialis fulva/P. dominica
4848;Amerikansk Hjejle/Sibirisk Hjejle;Amerikansk Hjejle/Sibirisk Hjejle;(Pluvialis fulva/P. dominica)
4870;Sporevibe;Sporevibe;Vanellus spinosus
4870;Sporevibe;Sporevibe;(Vanellus spinosus)
4910;Steppevibe;Steppevibe;Vanellus gregarius
4910;Steppevibe;Steppevibe;(Vanellus gregarius)
4920;Sumpvibe;Sumpvibe;Vanellus leucurus
4920;Sumpvibe;Sumpvibe;(Vanellus leucurus)
4800;Kaspisk Præstekrave;Kaspisk Præstekrave;Anarhynchus asiaticus
4800;Kaspisk Præstekrave;Kaspisk Præstekrave;(Anarhynchus asiaticus)
4780;Tibetansk Præstekrave;Tibetansk Præstekrave;Anarhynchus atrifrons
4780;Tibetansk Præstekrave;Tibetansk Præstekrave;(Anarhynchus atrifrons)
4786;Sibirisk Præstekrave;Sibirisk Præstekrave;Anarhynchus mongolus
4786;Sibirisk Præstekrave;Sibirisk Præstekrave;(Anarhynchus mongolus)
4790;Ørkenpræstekrave;Ørkenpræstekrave;Anarhynchus leschenaultii
4790;Ørkenpræstekrave;Ørkenpræstekrave;(Anarhynchus leschenaultii)
4795;Ørken-/Tibetansk/Sibirisk Præstekrave;Ørken-/Tibetansk/Sibirisk Præstekrave;Anarhynchus leschenaultii/atrifrons/mongolus
4795;Ørken-/Tibetansk/Sibirisk Præstekrave;Ørken-/Tibetansk/Sibirisk Præstekrave;(Anarhynchus leschenaultii/atrifrons/mongolus)
5440;Bartramsklire;Bartramsklire;Bartramia longicauda
5440;Bartramsklire;Bartramsklire;(Bartramia longicauda)
5330;Canadisk Kobbersneppe;Canadisk Kobbersneppe;Limosa haemastica
5330;Canadisk Kobbersneppe;Canadisk Kobbersneppe;(Limosa haemastica)
5270;Langnæbbet Sneppeklire;Langnæbbet Sneppeklire;Limnodromus scolopaceus
5270;Langnæbbet Sneppeklire;Langnæbbet Sneppeklire;(Limnodromus scolopaceus)
5289;Sneppeklire sp.;Sneppeklire sp.;Limnodromus sp.
5289;Sneppeklire sp.;Sneppeklire sp.;(Limnodromus sp.)
5550;Terekklire;Terekklire;Xenus cinereus
5550;Terekklire;Terekklire;(Xenus cinereus)
5570;Plettet Mudderklire;Plettet Mudderklire;Actitis macularius
5570;Plettet Mudderklire;Plettet Mudderklire;(Actitis macularius)
5630;Amerikansk Svømmesneppe;Amerikansk Svømmesneppe;Phalaropus tricolor
5630;Amerikansk Svømmesneppe;Amerikansk Svømmesneppe;(Phalaropus tricolor)
5510;Lille Gulben;Lille Gulben;Tringa flavipes
5510;Lille Gulben;Lille Gulben;(Tringa flavipes)
5500;Stor Gulben;Stor Gulben;Tringa melanoleuca
5500;Stor Gulben;Stor Gulben;(Tringa melanoleuca)
5080;Spidshalet Ryle;Spidshalet Ryle;Calidris acuminata
5080;Spidshalet Ryle;Spidshalet Ryle;(Calidris acuminata)
5150;Klireryle;Klireryle;Calidris himantopus
5150;Klireryle;Klireryle;(Calidris himantopus)
5000;Rødhalset Ryle;Rødhalset Ryle;Calidris ruficollis
5000;Rødhalset Ryle;Rødhalset Ryle;(Calidris ruficollis)
5160;Prærieløber;Prærieløber;Calidris subruficollis
5160;Prærieløber;Prærieløber;(Calidris subruficollis)
5060;Bairdsryle;Bairdsryle;Calidris bairdii
5060;Bairdsryle;Bairdsryle;(Calidris bairdii)
4980;Tyknæbbet Dværgryle;Tyknæbbet Dværgryle;Calidris pusilla
4980;Tyknæbbet Dværgryle;Tyknæbbet Dværgryle;(Calidris pusilla)
5050;Hvidrygget Ryle;Hvidrygget Ryle;Calidris fuscicollis
5050;Hvidrygget Ryle;Hvidrygget Ryle;(Calidris fuscicollis)
4640;Ørkenløber;Ørkenløber;Cursorius cursor
4640;Ørkenløber;Ørkenløber;(Cursorius cursor)
4660;Orientbraksvale;Orientbraksvale;Glareola maldivarum
4660;Orientbraksvale;Orientbraksvale;(Glareola maldivarum)
4670;Sortvinget Braksvale;Sortvinget Braksvale;Glareola nordmanni
4670;Sortvinget Braksvale;Sortvinget Braksvale;(Glareola nordmanni)
4650;Rødvinget Braksvale;Rødvinget Braksvale;Glareola pratincola
4650;Rødvinget Braksvale;Rødvinget Braksvale;(Glareola pratincola)
4689;Braksvale sp.;Braksvale sp.;Glareola sp.
4689;Braksvale sp.;Braksvale sp.;(Glareola sp.)
6386;Tejst, Arktisk (ssp. mandtii);Tejst, Arktisk (ssp. mandtii);Cepphus grylle mandtii
6386;Tejst, Arktisk (ssp. mandtii);Tejst, Arktisk (ssp. mandtii);(Cepphus grylle mandtii)
6350;Polarlomvie;Polarlomvie;Uria lomvia
6350;Polarlomvie;Polarlomvie;(Uria lomvia)
6343;Lomvie, Arktisk (ssp. hyperborea);Lomvie, Arktisk (ssp. hyperborea);Uria aalge hyperborea
6343;Lomvie, Arktisk (ssp. hyperborea);Lomvie, Arktisk (ssp. hyperborea);(Uria aalge hyperborea)
6220;Brilleterne;Brilleterne;Onychoprion anaethetus
