artsid;artsnavn
2260;Hvidhovedet And
2250;Amerikansk Skarveand
1526;[Sorthalset Svane]
1520;Knopsvane
1525;Sortsvane
1530;Pibesvane
1540;Sangsvane
1680;Knortegås
1683;Knortegås, Sortbuget (ssp. nigricans)
1681;Knortegås, Mørkbuget (ssp. bernicla)
1682;Knortegås, Lysbuget (ssp. hrota)
1690;Rødhalset Gås
1660;Canadagås
1670;Bramgås
1665;[Dværgcanadagås]
1620;Indisk Gås
1650;[Kejsergås]
1640;Dværgsnegås
1630;[Snegås]
1610;Grågås
1560;[Svanegås]
1600;Dværggås
1590;Blisgås
1592;Blisgås, Grønlandsk (ssp. flavirostris)
1591;Blisgås (ssp. albifrons)
1574;Tundrasædgås
1580;Kortnæbbet Gås
1571;Tajgasædgås
1750;[Moskusand]
1780;Mandarinand
1770;[Brudeand]
1695;[Magellangås]
1700;Nilgås
1730;Gravand
1710;Rustand
2120;Havlit
2090;Stellersand
2070;Kongeederfugl
2060;Ederfugl
2063;Ederfugl, Arktisk (ssp. borealis)
2130;Sortand
2132;Amerikansk Sortand
2140;Brilleand
2150;Fløjlsand
2153;Amerikansk Fløjlsand
2152;Asiatisk Fløjlsand
2160;[Bøffeland]
2180;Hvinand
2200;Lille Skallesluger
2190;[Hjelmskallesluger]
2210;Toppet Skallesluger
2230;Stor Skallesluger
1950;[Marmorand]
1960;Rødhovedet And
2020;Hvidøjet And
1980;Taffeland
2000;Halsbåndstroldand
2030;Troldand
2050;Lille Bjergand
2040;Bjergand
1830;Sibirisk Krikand
1910;Atlingand
1920;Blåvinget And
1930;[Kaneland]
1940;Skeand
1810;[Segland]
1820;Knarand
1790;Pibeand
1800;Amerikansk Pibeand
25800;[Chilepibeand]
1860;Gråand
1870;Sortbrun And
1890;Spidsand
1840;Krikand
1845;Krikand, Amerikansk (ssp. carolinensis)
3350;[Tjur]
3320;Urfugl
3670;Agerhøne
3930;[Kongefasan]
3960;[Guldfasan]
3940;Fasan
35670;[Påfugl]
3700;Vagtel
3580;[Rødhøne]
3550;[Chukarhøne]
1480;[Lille Flamingo]
1475;[Chileflamingo]
1472;[Stor Flamingo]
1471;[Cariberflamingo]
70;Lille Lappedykker
110;Nordisk Lappedykker
100;Gråstrubet Lappedykker
90;Toppet Lappedykker
120;Sorthalset Lappedykker
4460;Stortrappe
4445;Østlig Kravetrappe
4420;Dværgtrappe
7160;Skadegøg
7280;Gulnæbbet Gøg
7270;Sortnæbbet Gøg
7240;Gøg
6630;Steppehøne
6950;Sørgedue
6890;Østlig Turteldue
6870;Turteldue
6840;Tyrkerdue
6700;Ringdue
6650;Klippedue (tamdue)
6680;Huldue
4360;Prærietrane
4410;Jomfrutrane
4380;[Japansk Trane]
4330;Trane
4070;Vandrikse
4210;Engsnarre
4080;Plettet Rørvagtel
4240;Rørhøne
4290;Blishøne
4250;Lille Sultanhøne
4270;[Sultanhøne]
4100;Lille Rørvagtel
4110;Dværgrørvagtel
4590;Triel
4560;Klyde
4550;Stylteløber
4500;Strandskade
4860;Strandhjejle
4850;Hjejle
4840;Amerikansk Hjejle
4845;Sibirisk Hjejle
4820;Pomeransfugl
4700;Stor Præstekrave
4701;Stor Præstekrave (ssp. hiaticula)
4702;Stor Præstekrave, Tundra (ssp. tundrae)
4690;Lille Præstekrave
4930;Vibe
4870;[Sporevibe]
4910;Steppevibe
4920;Sumpvibe
4800;Kaspisk Præstekrave
4780;Tibetansk Præstekrave
4786;Sibirisk Præstekrave
4790;Ørkenpræstekrave
4770;Hvidbrystet Præstekrave
5440;Bartramsklire
5380;Småspove
5410;Storspove
5340;Lille Kobbersneppe
5320;Stor Kobbersneppe
5322;Stor Kobbersneppe, Islandsk (ssp. islandica)
5321;Stor Kobbersneppe (ssp. limosa)
5330;Canadisk Kobbersneppe
5270;Langnæbbet Sneppeklire
5180;Enkeltbekkasin
5290;Skovsneppe
5200;Tredækker
5190;Dobbeltbekkasin
5550;Terekklire
5560;Mudderklire
5570;Plettet Mudderklire
5630;Amerikansk Svømmesneppe
5650;Thorshane
5640;Odinshane
5530;Svaleklire
5470;Damklire
5540;Tinksmed
5460;Rødben
5462;Rødben, Islandsk (ssp. robusta)
5461;Rødben (ssp. totanus)
5510;Lille Gulben
5450;Sortklire
5480;Hvidklire
5500;Stor Gulben
5610;Stenvender
4960;Islandsk Ryle
4961;Islandsk Ryle, Sibirisk (ssp. canutus)
4962;Islandsk Ryle, Baffinryle (ssp. islandica)
5170;Brushane
