artsid;artsnavn
2265;Amerikansk Skarveand x Hvidhovedet And (hybrid)
1688;Knortegås, Mørkbuget x Sortbuget (hybrid)
1689;Knortegås x Rødhalset Gås (hybrid)
1664;Canadagås x Bramgås (hybrid)
1669;Canadagås x Grågås (hybrid)
1677;Bramgås x Dværgcanadagås (hybrid)
1678;Bramgås x Dværggås (hybrid)
1679;Bramgås x Rødhalset Gås (hybrid)
1625;Indisk Gås X Grågås (hybrid)
1626;Indisk Gås X Canadagås (hybrid)
1627;Indisk Gås X Bramgås (hybrid)
1645;Dværgsnegås x Bramgås (hybrid)
1639;Snegås x Bramgås (hybrid)
1615;Grågås x Blisgås (hybrid)
1619;Grågås x Bramgås (hybrid)
1569;Svanegås x Grågås (hybrid)
1594;Blisgås x Bramgås (hybrid)
1595;Blisgås x Rødhalset Gås (hybrid)
1714;Rustand x Gravand (hybrid)
2078;Kongeederfugl x Ederfugl (hybrid)
2189;Hvinand x Lille Skallesluger (hybrid)
1969;Rødhovedet And x Taffeland (hybrid)
2028;Hvidøjet And x Troldand (hybrid)
2029;Hvidøjet And x Taffeland (hybrid)
1989;Taffeland x Troldand (hybrid)
2005;Halsbåndstroldand x Troldand (hybrid)
2039;Troldand x Bjergand (hybrid)
2051;Lille Bjergand x Troldand (hybrid)
2058;Dykand hybrid
1946;Skeand x Blåvinget And (hybrid)
1947;Skeand x Knarand (hybrid)
1948;Skeand x Gråand (hybrid)
1794;Pibeand x Gråand (hybrid)
1793;Pibeand x Krikand (hybrid)
1808;Amerikansk Pibeand x Pibeand (hybrid)
1797;Pibeand x Knarand (hybrid)
1798;Pibeand x Chilepibeand (hybrid)
1895;Gråand x Knarand (hybrid)
1867;Gråand x Ederfugl (hybrid)
1868;Gråand x Troldand (hybrid)
1866;Gråand x Moskusand (hybrid)
1869;Gråand x svømmeand sp. (hybrid)
1893;Spidsand x Pibeand (hybrid)
1894;Spidsand x Gråand (hybrid)
1843;Krikand x Gråand (hybrid)
1844;Krikand x Amerikansk Krikand (hybrid)
4385;Trane x Japansk Trane (hybrid)
4298;Blishøne x Rørhøne (hybrid)
5758;Sorthovedet Måge x Hættemåge (hybrid)
5935;Sølvmåge x Kaspisk Måge (hybrid)
5918;Sølvmåge x Sildemåge (hybrid)
5999;Sølvmåge x Gråmåge (hybrid)
2619;Blå Kærhøg x Steppehøg (hybrid)
2389;Sort Glente x Rød Glente (hybrid)
8769;Stor Flagspætte x Hvidrygget Flagspætte (hybrid)
15679;Sortkrage x Gråkrage (hybrid)
10018;Landsvale x Bysvale (hybrid)
14378;Nordlig Halemejse x Sydlig Halemejse (hybrid)
13119;Gransanger x Løvsanger (hybrid)
11989;Sjagger x Solsort (hybrid)
13489;Hvidhalset Fluesnapper x Broget Fluesnapper (hybrid)
15989;Gråspurv x Skovspurv (hybrid)
10179;Gul Vipstjert, Almindelig x Gulhovedet (hybrid)
10181;Citronvipstjert x Gul Vipstjert (hybrid)
24998;Hybrid sp.
