artsid;artsnavn
1539;Pibesvane/Sangsvane
1559;Svane sp.
1699;Rajgås sp.
1570;Tajgasædgås/Tundrasædgås
1599;Blisgås/Dværggås
1659;Grå Gås sp.
1709;Gås sp.
2218;Toppet Skallesluger/Stor Skallesluger
2239;Skallesluger sp.
2268;Havdykand sp. (Mergini)
2269;Andefugl sp.
2038;Troldand/Bjergand
2059;Dykand sp. (Aythya sp.)
1799;Pibeand/Spidsand
1949;Svømmeand sp.
1489;Flamingo sp.
1470;Stor Flamingo/Cariberflamingo
119;Nordisk Lappedykker/Sorthalset Lappedykker
99;Toppet Lappedykker/Gråstrubet Lappedykker
139;Lappedykker sp.
7069;Due sp.
4409;Trane sp.
4419;Stork/Trane sp.
4169;Rørvagtel sp.
4848;Amerikansk Hjejle/Sibirisk Hjejle
4795;Ørken-/Tibetansk/Sibirisk Præstekrave
4939;Brokfugl sp.
5439;Spove sp.
5289;Sneppeklire sp.
5649;Odinshane/Thorshane
5459;Sortklire/Rødben
4969;Islandsk Ryle/Lille Kobbersneppe
5129;Ryle sp.
5018;Dværgryle/Temmincksryle
4689;Braksvale sp.
5658;Vader sp., Stor
5659;Vader sp., Lille
5679;Almindelig Kjove/Lille Kjove
5669;Mellemkjove/Almindelig Kjove
5709;Kjove sp.
6369;Lomvie/Alk
6569;Alkefugl sp.
6289;Moseterne sp.
6159;Fjordterne/Havterne
6259;Terne sp.
6049;Måge sp.
49;Islom/Hvidnæbbet Lom
29;Rødstrubet Lom/Sortstrubet Lom
59;Lom sp.
209;Albatros sp.
639;Stormsvale sp.
259;Madeira/Kap Verde/Desertas Petrel
360;Atlantisk Skråpe/Scopolis Skråpe
369;Atlantisk/Scopolis/Storskråpe
459;Middelhavsskråpe/Almindelig Skråpe
499;Skråpe sp.
1359;Stork sp.
849;Skarv sp.
919;Pelikan sp.
1219;Hejre sp. (hvid)
1259;Hejre sp.
8009;Sejler sp.
7679;Skovhornugle/Mosehornugle
7719;Ugle sp.
2559;Grib sp.
2929;Lille Skrigeørn/Stor Skrigeørn
2979;Ørn sp.
2749;Høg sp.
2629;Steppehøg/Hedehøg
2649;Kærhøg sp.
2388;Sort Glente/Rød Glente
2919;Våge sp.
9019;Spætte sp.
3109;Lærkefalk/Aftenfalk
3189;Storfalk sp.
3219;Falk sp.
7149;Papegøje sp.
15249;Tornskade sp.
15749;Kragefugl sp.
14409;Sumpmejse/Fyrremejse
14669;Mejse sp.
9799;Lærke sp.
10019;Svale sp.
13079;Bjergløvsanger/Balkanløvsanger
13129;Phylloscopus sp.
12650;Rødstrubet Sanger/Iberisk Sanger/Makisanger
13168;Sanger sp.
14869;Træløber/Korttået Træløber
12009;Sangdrossel/Vindrossel
12069;Drossel sp.
11039;Nattergal/Sydlig Nattergal
13559;Fluesnapper sp.
11480;Vestlig Middelhavsstenpikker/Østlig Middelhavsstenpikker
15988;Gråspurv/Skovspurv
10239;Vipstjert sp.
10159;Piber sp.
10144;Bjergpiber/Skærpiber
16388;Bogfinke/Kvækerfinke
16389;Finke sp.
16609;Tornirisk/Bjergirisk
16669;Lille Korsnæb/Stor Korsnæb
16689;Korsnæb sp.
16649;Sisken sp.
18479;Lapværling/Snespurv
18809;Brunhovedet Værling/Hætteværling
18819;Værling sp.
19999;Småfugl sp. (Pibere, Finker, Spurve o.lign.)
24997;Burfugl sp.
99999;Ny fugleart for landet
