[alm] 2025-10-12 23:38:00 CEST · [alm] · 109 Råge · Rastende · Skørrebro · DOF Bornholm · Eilif S. Bendtsen · 14.892934817598682, 55.09103667749659 · 10:45-11:30
[alm] 2025-10-12 23:38:20 CEST · [alm] · 241 Blisgås · Rastende · Skørrebro · DOF Bornholm · Eilif S. Bendtsen · 14.892934817598682, 55.09103667749659 · 10:45-11:30
[alm] 2025-10-12 23:38:39 CEST · [alm] · 12 Krage, Gråkrage (ssp. cornix) · Rastende · Skørrebro · DOF Bornholm · Eilif S. Bendtsen · 14.892934817598682, 55.09103667749659 · 10:45-11:30
[alm] 2025-10-12 23:38:59 CEST · [alm] · 28 Allike · Rastende · Skørrebro · DOF Bornholm · Eilif S. Bendtsen · 14.892934817598682, 55.09103667749659 · 10:45-11:30
[alm] 2025-10-12 23:39:19 CEST · [alm] · 4 Husskade · Rastende · Skørrebro · DOF Bornholm · Eilif S. Bendtsen · 14.892934817598682, 55.09103667749659 · 10:45-11:30
[alm] 2025-10-12 23:39:39 CEST · [alm] · 77 Sølvmåge · Rastende · Skørrebro · DOF Bornholm · Eilif S. Bendtsen · 14.892934817598682, 55.09103667749659 · 10:45-11:30
[alm] 2025-10-12 23:40:00 CEST · [alm] · 1 Rødhals · Rastende · Skørrebro · DOF Bornholm · Eilif S. Bendtsen · 14.892934817598682, 55.09103667749659 · 10:45-11:30
[alm] 2025-10-12 23:40:20 CEST · [alm] · 22 Gråspurv · Rastende · Skørrebro · DOF Bornholm · Eilif S. Bendtsen · 14.892934817598682, 55.09103667749659 · 10:45-11:30
[alm] 2025-10-12 23:40:40 CEST · [alm] · 2 Solsort · Rastende · Skørrebro · DOF Bornholm · Eilif S. Bendtsen · 14.892934817598682, 55.09103667749659 · 10:45-11:30
[alm] 2025-10-12 23:43:26 CEST · [alm] · 1 Rød Glente · Overflyvende · Grødby · DOF Bornholm · Eilif S. Bendtsen · 14.944798510132289, 55.03062051453895 · 13:25-13:30
[alm] 2025-10-12 23:44:03 CEST · [alm] · 114 Sølvmåge · Rastende · Grødby · DOF Bornholm · Eilif S. Bendtsen · 14.944798510132289, 55.03062051453895 · 13:25-13:30
[alm] 2025-10-12 23:44:23 CEST · [alm] · 38 Stær · Rastende · Grødby · DOF Bornholm · Eilif S. Bendtsen · 14.944798510132289, 55.03062051453895 · 13:25-13:30
[alm] 2025-10-12 23:44:43 CEST · [alm] · 1 Fasan · Rastende · Grødby · DOF Bornholm · Eilif S. Bendtsen · 14.944798510132289, 55.03062051453895 · 13:25-13:30
[alm] 2025-10-12 23:44:43 CEST · [alm] · 1 Musvåge · Rastende · Grødby · DOF Bornholm · Eilif S. Bendtsen · 14.944798510132289, 55.03062051453895 · 13:25-13:30
[alm] 2025-10-12 23:46:36 CEST · [alm] · 1 Rødstjert · Rastende · Nexø Sydstrand · DOF Bornholm · Eilif S. Bendtsen · 15.125559666158129, 55.04973082121205 · 11:40-12:10
[alm] 2025-10-12 23:47:12 CEST · [alm] · 1750 Grågås · Rastende · Nexø Sydstrand · DOF Bornholm · Eilif S. Bendtsen · 15.125559666158129, 55.04973082121205 · 11:40-12:10
[alm] 2025-10-12 23:47:31 CEST · [alm] · 9 Krikand · Rastende · Nexø Sydstrand · DOF Bornholm · Eilif S. Bendtsen · 15.125559666158129, 55.04973082121205 · 11:40-12:10
[alm] 2025-10-12 23:47:51 CEST · [alm] · 8 Knarand · Rastende · Nexø Sydstrand · DOF Bornholm · Eilif S. Bendtsen · 15.125559666158129, 55.04973082121205 · 11:40-12:10
