artsid;artsnavn
34130;[Afrikansk Skestork]
3070;Aftenfalk
3670;Agerhøne
209;Albatros sp.
7120;[Alexanderparakit]
6360;Alk
6569;Alkefugl sp.
6362;Alk, Atlantisk (ssp. islandica)
6361;Alk, Nordlig (ssp. torda)
15600;Allike
15601;Allike, Almindelig (ssp. monedula)
15602;Allike, Halsbåndsallike (ssp. soemmerringii)
15603;Allike, Vestlig (ssp. spermologus)
5670;Almindelig Kjove
5679;Almindelig Kjove/Lille Kjove
5120;Almindelig Ryle
5123;Almindelig Ryle, Engryle (ssp. schinzii)
5121;Almindelig Ryle, Nordlig (ssp. alpina)
460;Almindelig Skråpe
10940;Alpejernspurv
7980;Alpesejler
2153;Amerikansk Fløjlsand
4840;Amerikansk Hjejle
4848;Amerikansk Hjejle/Sibirisk Hjejle
2615;Amerikansk Kærhøg
1800;Amerikansk Pibeand
1808;Amerikansk Pibeand x Pibeand (hybrid)
960;Amerikansk Rørdrum
2250;Amerikansk Skarveand
2265;Amerikansk Skarveand x Hvidhovedet And (hybrid)
2132;Amerikansk Sortand
5630;Amerikansk Svømmesneppe
3050;Amerikansk Tårnfalk
9951;Amursvale
2269;Andefugl sp.
5919;Armensk Måge
2152;Asiatisk Fløjlsand
12700;Asiatisk Ørkensanger
369;Atlantisk/Scopolis/Storskråpe
362;Atlantisk Skråpe
360;Atlantisk Skråpe/Scopolis Skråpe
1910;Atlingand
5880;Audouinsmåge
6120;Aztekerterne
5060;Bairdsryle
5440;Bartramsklire
2450;[Beringhavørn]
8400;Biæder
2040;Bjergand
18670;Bjerghortulan
16620;Bjergirisk
9780;Bjerglærke
13070;Bjergløvsanger
13079;Bjergløvsanger/Balkanløvsanger
10140;Bjergpiber
10144;Bjergpiber/Skærpiber
10190;Bjergvipstjert
12550;Bleg Gulbug
1590;Blisgås
1599;Blisgås/Dværggås
1592;Blisgås, Grønlandsk (ssp. flavirostris)
1591;Blisgås (ssp. albifrons)
1594;Blisgås x Bramgås (hybrid)
1595;Blisgås x Rødhalset Gås (hybrid)
4290;Blishøne
4298;Blishøne x Rørhøne (hybrid)
11060;Blåhals
11061;Blåhals, Nordlig (ssp. svecica)
11062;Blåhals, Sydlig (ssp. cyanecula)
14620;Blåmejse
11130;Blåstjert
1920;Blåvinget And
2350;Blå Glente
2610;Blå Kærhøg
2619;Blå Kærhøg x Steppehøg (hybrid)
16360;Bogfinke
16388;Bogfinke/Kvækerfinke
18820;Bomlærke
5810;Bonapartemåge
4689;Braksvale sp.
1670;Bramgås
1677;Bramgås x Dværgcanadagås (hybrid)
1678;Bramgås x Dværggås (hybrid)
1679;Bramgås x Rødhalset Gås (hybrid)
2140;Brilleand
6220;Brilleterne
13490;Broget Fluesnapper
15700;[Broget Krage]
4939;Brokfugl sp.
1770;[Brudeand]
11962;Brundrossel
18800;Brunhovedet Værling
18809;Brunhovedet Værling/Hætteværling
16500;[Brunirisk]
13340;Brun Fluesnapper
13030;Brun Løvsanger
700;Brun Sule
15130;Brun Tornskade
5170;Brushane
24997;Burfugl sp.
12480;Buskrørsanger
11370;Bynkefugl
10010;Bysvale
2160;[Bøffeland]
1660;Canadagås
1664;Canadagås x Bramgås (hybrid)
1669;Canadagås x Grågås (hybrid)
5330;Canadisk Kobbersneppe
1471;[Cariberflamingo]
12200;Cettisanger
1475;[Chileflamingo]
25800;[Chilepibeand]
3550;[Chukarhøne]
12260;Cistussanger
10180;Citronvipstjert
10181;Citronvipstjert x Gul Vipstjert (hybrid)
5470;Damklire
9810;Digesvale
5190;Dobbeltbekkasin
17100;Dompap
17102;Dompap, Lille (ssp. europaea)
17101;Dompap, Stor (ssp. pyrrhula)
12530;Drosselrørsanger
12069;Drossel sp.
2670;Duehøg
2672;Duehøg, Russisk (ssp. buteoides)
7069;Due sp.
1665;[Dværgcanadagås]
3090;Dværgfalk
1600;Dværggås
980;Dværghejre
7390;Dværghornugle
5780;Dværgmåge
5010;Dværgryle
5018;Dværgryle/Temmincksryle
4110;Dværgrørvagtel
820;Dværgskarv
1640;Dværgsnegås
